1.40 0.20 1
1.40 0.20 1
1.30 0.20 1
1.50 0.20 1
1.40 0.20 1
1.70 0.40 1
1.40 0.30 1
1.50 0.20 1
1.40 0.20 1
1.50 0.10 1
1.50 0.20 1
1.60 0.20 1
1.40 0.10 1
1.10 0.10 1
1.20 0.20 1
1.50 0.40 1
1.30 0.40 1
1.40 0.30 1
1.70 0.30 1
1.50 0.30 1
1.70 0.20 1
1.50 0.40 1
1.00 0.20 1
1.70 0.50 1
1.90 0.20 1
1.60 0.20 1
1.60 0.40 1
1.50 0.20 1
1.40 0.20 1
1.60 0.20 1
1.60 0.20 1
1.50 0.40 1
1.50 0.10 1
1.40 0.20 1
1.50 0.20 1
1.20 0.20 1
1.30 0.20 1
1.40 0.10 1
1.30 0.20 1
1.50 0.20 1
1.30 0.30 1
1.30 0.30 1
1.30 0.20 1
1.60 0.60 1
1.90 0.40 1
1.40 0.30 1
1.60 0.20 1
1.40 0.20 1
1.50 0.20 1
1.40 0.20 1
4.70 1.40 2
4.50 1.50 2
4.90 1.50 3
4.00 1.30 2
4.60 1.50 2
4.50 1.30 2
4.70 1.60 2
3.30 1.00 2
4.60 1.30 2
3.90 1.40 2
3.50 1.00 2
4.20 1.50 2
4.00 1.00 2
4.70 1.40 2
3.60 1.30 2
4.40 1.40 2
4.50 1.50 2
4.10 1.00 2
4.50 1.50 2
3.90 1.10 2
4.80 1.80 2
4.00 1.30 2
4.90 1.50 2
4.70 1.20 2
4.30 1.30 2
4.40 1.40 2
4.80 1.40 2
5.00 1.70 3
4.50 1.50 2
3.50 1.00 2
3.80 1.10 2
3.70 1.00 2
3.90 1.20 2
5.10 1.60 2
4.50 1.50 2
4.50 1.60 2
4.70 1.50 2
4.40 1.30 2
4.10 1.30 2
4.00 1.30 2
4.40 1.20 2
4.60 1.40 2
4.00 1.20 2
3.30 1.00 2
4.20 1.30 2
4.20 1.20 2
4.20 1.30 2
4.30 1.30 2
3.00 1.10 2
4.10 1.30 2
6.00 2.50 3
5.10 1.90 2
5.90 2.10 3
5.60 1.80 3
5.80 2.20 3
6.60 2.10 3
4.50 1.70 2
6.30 1.80 3
5.80 1.80 3
6.10 2.50 3
5.10 2.00 3
5.30 1.90 3
5.50 2.10 3
5.00 2.00 2
5.10 2.40 2
5.30 2.30 3
5.50 1.80 3
6.70 2.20 3
6.90 2.30 3
5.00 1.50 2
5.70 2.30 3
4.90 2.00 2
6.70 2.00 3
4.90 1.80 2
5.70 2.10 3
6.00 1.80 3
4.80 1.80 2
4.90 1.80 2
5.60 2.10 3
5.80 1.60 3
6.10 1.90 3
6.40 2.00 3
5.60 2.20 3
5.10 1.50 2
5.60 1.40 3
6.10 2.30 3
5.60 2.40 3
5.50 1.80 3
4.80 1.80 2
5.40 2.10 3
5.60 2.40 3
5.10 2.30 3
5.10 1.90 2
5.90 2.30 3
5.70 2.50 3
5.20 2.30 3
5.00 1.90 2
5.20 2.00 3
5.40 2.30 3
5.10 1.80 2
